City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Harlingen,US,26.19,-97.7,88.0,79,75,13.87,broken clouds
175,Digha,IN,21.68,87.55,86.18,80,100,10.04,overcast clouds
176,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,55.4,100,90,2.24,light intensity shower rain
177,Ilebo,CD,-4.32,20.58,84.02,38,80,0.16,broken clouds
178,Lavumisa,SZ,-27.31,31.89,61.2,78,0,3.8,clear sky
179,Kolosovka,RU,56.47,73.61,70.12,80,9,5.01,clear sky
180,Iwaki,JP,37.05,140.88,66.0,95,53,1.01,broken clouds
181,Carnarvon,AU,-24.87,113.63,59.0,87,0,10.29,clear sky
182,Mount Isa,AU,-20.73,139.5,48.2,57,0,10.67,clear sky
183,Ischia,IT,40.73,13.95,84.0,79,0,4.68,clear sky
184,Masty,BY,53.41,24.54,63.66,72,95,4.81,overcast clouds
185,Moba,CN,33.23,105.02,60.19,96,6,1.95,clear sky
186,Santa Maria,BR,-29.68,-53.81,78.8,61,75,4.7,broken clouds
187,Salalah,OM,17.02,54.09,82.4,83,40,1.12,scattered clouds
188,Matara,LK,5.95,80.54,78.04,87,68,9.37,light rain
189,Castro,BR,-24.79,-50.01,67.95,50,2,5.91,clear sky
190,Ketchikan,US,55.34,-131.65,59.0,100,90,13.87,overcast clouds
191,Margate,GB,51.38,1.39,70.0,61,38,5.01,light rain
192,Codrington,AU,-38.27,141.97,42.4,87,95,8.32,overcast clouds
193,Inhambane,MZ,-23.86,35.38,69.8,60,75,4.7,broken clouds
194,Qasigiannguit,GL,68.82,-51.19,50.0,61,20,5.82,few clouds
195,Pevek,RU,69.7,170.31,36.93,85,98,1.72,overcast clouds
196,Itarema,BR,-2.92,-39.92,85.57,58,12,17.13,few clouds
197,Camacha,PT,33.08,-16.33,71.6,73,40,16.11,scattered clouds
198,Narsaq,GL,60.92,-46.05,55.4,71,100,5.82,light intensity drizzle
199,Wynyard,AU,-41.0,145.72,45.0,88,97,7.0,moderate rain
200,San Ignacio,BZ,17.16,-89.07,89.6,66,75,4.7,broken clouds
201,Romanovka,RU,51.74,42.75,59.85,82,37,5.32,scattered clouds
202,Shimoda,JP,34.67,138.95,68.0,94,83,2.46,broken clouds
203,Krasnoselkup,RU,65.7,82.47,57.94,87,6,6.6,clear sky
204,Bethel,US,41.37,-73.41,79.0,88,90,8.05,light rain
205,Vardo,NO,70.37,31.11,50.0,87,75,11.41,broken clouds
206,Arari,BR,-3.45,-44.78,92.41,40,20,4.0,few clouds
207,Seymchan,RU,62.88,152.43,45.18,77,1,2.64,clear sky
208,Barrow,US,71.29,-156.79,39.2,80,90,13.87,overcast clouds
209,Otavi,NA,-19.65,17.33,58.8,30,0,8.72,clear sky
