City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Carnarvon,AU,2020-08-01 15:53:33,-24.87,113.63,64.4,82,48,13.87
121,Atuona,PF,2020-08-01 15:54:33,-9.8,-139.03,79.16,72,60,17.22
122,North Platte,US,2020-08-01 15:54:33,41.12,-100.77,73.99,69,1,9.17
123,Chicama,PE,2020-08-01 15:54:34,-7.84,-79.15,70.9,60,48,8.79
124,Trat,TH,2020-08-01 15:54:34,12.5,102.5,77.81,91,100,9.44
125,Chuy,UY,2020-08-01 15:53:47,-33.7,-53.46,59.67,69,19,5.48
126,Venado Tuerto,AR,2020-08-01 15:54:34,-33.75,-61.97,64.92,52,87,15.37
127,Kodiak,US,2020-08-01 15:54:35,57.79,-152.41,48.2,93,90,4.7
128,Auki,SB,2020-08-01 15:54:35,-8.77,160.7,78.58,80,84,2.53
129,Karia,NG,2020-08-01 15:54:35,11.73,11.16,92.23,38,68,5.17
130,Namibe,AO,2020-08-01 15:54:35,-15.2,12.15,71.17,70,0,9.1
131,Luanda,AO,2020-08-01 15:52:49,-8.84,13.23,71.47,80,40,16.26
132,Atambua,ID,2020-08-01 15:54:36,-9.11,124.89,66.74,87,1,5.14
133,Umm Lajj,SA,2020-08-01 15:54:36,25.02,37.27,87.75,77,0,8.32
134,Avarua,CK,2020-08-01 15:53:47,-21.21,-159.78,66.2,68,35,3.36
135,Jacareacanga,BR,2020-08-01 15:54:36,-6.22,-57.75,96.57,23,0,4.45
136,Manavalakurichi,IN,2020-08-01 15:54:37,8.13,77.3,80.6,88,75,5.82
137,Coquimbo,CL,2020-08-01 15:54:37,-29.95,-71.34,53.6,81,40,4.7
138,Ustye,RU,2020-08-01 15:54:37,59.63,39.74,61.16,74,52,5.41
139,Castel San Giovanni,IT,2020-08-01 15:54:37,45.06,9.43,95.0,48,0,1.39
140,Akdepe,TM,2020-08-01 15:54:37,42.06,59.38,91.4,26,0,9.17
141,East London,ZA,2020-08-01 15:53:35,-33.02,27.91,64.53,62,0,2.15
142,Bobo Dioulasso,BF,2020-08-01 15:54:38,11.18,-4.3,78.8,83,20,8.05
143,Arraial Do Cabo,BR,2020-08-01 15:54:38,-22.97,-42.03,75.2,60,40,13.87
