City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Lazaro Cardenas,MX,87.67,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
276,Winnemucca,US,86.0,clear sky,40.97,-117.74,Winners Inn Casino
278,Holbeach,GB,72.0,light rain,52.8,0.01,Elloe Lodge
281,The Valley,AI,89.6,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
283,Dingli,MT,84.2,few clouds,35.86,14.38,The Xara Palace Relais & Chateaux
284,Syracuse,IT,91.4,clear sky,37.09,15.28,Hotel Posta
286,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
287,Bitam,GA,70.74,light rain,2.08,11.5,Bénédicta hôtel
290,Sur,OM,84.83,clear sky,22.57,59.53,Sur Plaza Hotel
292,Presidencia Roque Saenz Pena,AR,90.05,clear sky,-26.79,-60.44,Hotel Aconcagua
295,Lata,PT,73.99,broken clouds,40.16,-8.33,Casa Maquia
297,Harper,LR,75.97,broken clouds,4.38,-7.72,Screensaver
298,Ler,SS,73.17,light rain,8.3,30.14,
300,Tacoronte,ES,84.99,few clouds,28.48,-16.41,Haciendas del Valle - Casa San Miguel
301,Calabozo,VE,82.62,moderate rain,8.92,-67.43,Hotel Giardini
302,Port Alfred,ZA,71.58,clear sky,-33.59,26.89,The Halyards Hotel
305,Namatanai,PG,79.56,light rain,-3.67,152.43,Namatanai Hotel
306,Faanui,PF,78.28,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
312,Port Hawkesbury,CA,82.99,clear sky,45.62,-61.35,Hearthstone Inn Port Hawkesbury
314,Maceio,BR,75.2,shower rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
316,San Javier,ES,88.0,clear sky,37.81,-0.84,Hotel Mar Menor
317,Cap-Aux-Meules,CA,77.0,few clouds,47.38,-61.86,Auberge Madeli
318,Lluta,PE,73.4,scattered clouds,-16.01,-72.01,
319,Nalut,LY,90.72,clear sky,30.33,10.85,
320,Tottori,JP,75.69,broken clouds,35.5,134.23,Hotel Monarque Tottori
321,Bonthe,SL,74.07,overcast clouds,7.53,-12.51,Bonthe Holiday Village
322,Amberley,US,78.01,broken clouds,39.2,-84.43,"Motel 6 Cincinnati, OH - Central - Norwood"
323,Los Llanos De Aridane,ES,78.01,few clouds,28.66,-17.92,Valle Aridane
324,Fare,PF,78.75,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
326,Zwedru,LR,78.48,overcast clouds,6.07,-8.13,Elijah Worjloh
329,La Ronge,CA,75.2,few clouds,55.1,-105.28,Northland Motor Hotel
330,Jalu,LY,93.79,clear sky,29.03,21.55,Jalu Hotel
331,Arinos,BR,85.37,clear sky,-15.92,-46.11,Hotel Dias
334,Wanxian,CN,81.45,scattered clouds,30.8,108.39,7Days Inn Chongqing Shiqiaopu
336,Kibuye,RW,77.0,few clouds,-2.06,29.35,Inn on the lake
337,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
338,Chifeng,CN,71.33,clear sky,42.27,118.96,Junyu Tiancheng Hotel
339,Uyovu,TZ,70.38,clear sky,-3.28,31.53,
341,Klobuck,PL,75.0,broken clouds,50.9,18.94,Restauracja Wenecka. Hotel
342,Nizwa,OM,93.76,few clouds,22.93,57.53,Orient Apartments
343,Utmanzai,PK,91.4,haze,34.19,71.76,Durrani’s Qala
344,Badarwas,IN,81.09,broken clouds,24.97,77.57,Jat Tea Stall
346,Caramay,PH,80.69,overcast clouds,10.18,119.24,Peace and Love Beach Club
348,Port-Cartier,CA,77.0,scattered clouds,50.03,-66.87,Le Q'Artier
349,Lagos,NG,75.97,overcast clouds,6.58,3.75,
352,Steamboat Springs,US,82.99,clear sky,40.48,-106.83,Steamboat Grand
354,Chicama,PE,71.98,scattered clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
355,Parana,AR,72.37,broken clouds,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
358,Kasongo,CD,84.36,broken clouds,-4.45,26.67,Guest Hôtel
362,Mbanza-Ngungu,CD,78.76,clear sky,-5.25,14.87,Hotel Full Business
364,Dawlatabad,AF,77.09,clear sky,36.41,64.91,WASIM ASGAR KHAN
365,Cururupu,BR,85.64,light rain,-1.83,-44.87,Pousada Través'cia
366,Seoul,KR,80.6,light rain,37.57,126.98,LOTTE HOTEL SEOUL
368,Roma,US,87.8,few clouds,43.21,-75.46,Wingate By Wyndham Rome
369,High Level,CA,78.8,few clouds,58.52,-117.14,Days Inn by Wyndham High Level
370,Manacapuru,BR,80.6,scattered clouds,-3.3,-60.62,Novo Hotel
372,Douentza,ML,96.71,scattered clouds,15.0,-2.95,Ogomono Doumbo
373,Nabire,ID,75.09,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
379,Manokwari,ID,78.89,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
380,Maumere,ID,73.08,broken clouds,-8.62,122.21,Sylvia Hotel
381,Kashi,CN,79.72,scattered clouds,39.45,75.98,帕米尔青年旅舍
383,Myitkyina,MM,81.63,broken clouds,25.38,97.4,Shwe Phyu Hotel
387,Porto Novo,BJ,78.8,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
388,Marsaxlokk,MT,84.2,few clouds,35.84,14.54,Water's Edge
391,Luganville,VU,74.57,overcast clouds,-15.53,167.17,The Espiritu Hotel
396,Constantine,DZ,96.8,few clouds,36.37,6.61,Grand Hotel Cirta
398,Defiance,US,73.4,overcast clouds,41.33,-84.45,
399,Boende,CD,76.05,light rain,-0.22,20.87,
401,Coahuayana,MX,84.2,scattered clouds,18.73,-103.68,Hotel Los Arcos
403,Palaikastron,GR,84.0,clear sky,35.2,26.25,Marina Village
405,Ugoofaaru,MV,82.72,light rain,5.67,73.0,Ungoofaaru Inn
406,Cap Malheureux,MU,70.0,few clouds,-19.98,57.61,Pereybere Hotel & Spa
407,Acajutla,SV,91.4,scattered clouds,13.59,-89.83,Stop.
409,Logansport,US,77.0,broken clouds,40.75,-86.36,Holiday Inn Express & Suites Logansport
410,Porto Santo,PT,71.6,scattered clouds,33.07,-16.34,Hotel Porto Santo & Spa
412,Tonantins,BR,93.07,clear sky,-2.87,-67.8,Hotel Rei Davi
413,Ko Samui,TH,83.97,overcast clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
